101000000010350,CSL FINANCE LIMITED,0,1,0.05,INE718F01018,0915-1530|1815-1915:1,2023-01-28,,NSE:CSLFINANCE-EQ,10,10,10350,CSLFINANCE,10350,-1.0,XX,101000000010350
101000000010366,UNIVA FOODS LIMITED,0,1,0.05,INE275F01019,0915-1530|1815-1915:1,2023-01-28,,NSE:UNIVAFOODS-BE,10,10,10366,UNIVAFOODS,10366,-1.0,XX,101000000010366
10100000001038,FINOLEX CABLES LTD,0,1,0.05,INE235A01022,0915-1530|1815-1915:1,2023-01-28,,NSE:FINCABLES-EQ,10,10,1038,FINCABLES,1038,-1.0,XX,10100000001038
101000000010397,JAIN IRRIGATION SYSTEMS,0,1,0.05,INE175A01038,0915-1530|1815-1915:1,2023-01-28,,NSE:JISLJALEQS-EQ,10,10,10397,JISLJALEQS,10397,-1.0,XX,101000000010397
1010000000104,SHARE IND. SECURITIES LTD,0,1,0.05,INE932X01018,0915-1530|1815-1915:1,2023-01-28,,NSE:SHAREINDIA-EQ,10,10,104,SHAREINDIA,104,-1.0,XX,1010000000104
101000000010406,STEEL CITY SECURITIES LTD,0,1,0.05,INE395H01011,0915-1530|1815-1915:1,2023-01-28,,NSE:STEELCITY-EQ,10,10,10406,STEELCITY,10406,-1.0,XX,101000000010406
10100000001041,FINOLEX INDUSTRIES LTD,0,1,0.05,INE183A01024,0915-1530|1815-1915:1,2023-01-28,,NSE:FINPIPE-EQ,10,10,1041,FINPIPE,1041,-1.0,XX,10100000001041
101000000010412,KSHITIJ POLYLINE LIMITED,0,1,0.05,INE013801027,0915-1530|1815-1915:1,2023-01-28,,NSE:KSHITIJPOL-BE,10,10,10412,KSHITIJPOL,10412,-1.0,XX,101000000010412
101000000010415,MUTHOOT CAP SERV LTD,0,1,0.05,INE296G01013,0915-1530|1815-1915:1,2023-01-28,,NSE:MUTHOOTCAP-EQ,10,10,10415,MUTHOOTCAP,10415,-1.0,XX,101000000010415
101000000010417,DYNAMIC CABLES LIMITED,0,1,0.05,INE600Y01019,0915-1530|1815-1915:1,2023-01-28,,NSE:DYCL-EQ,10,10,10417,DYCL,10417,-1.0,XX,101000000010417
101000000010435,ORIENTAL INFRATRUST,4,1,0.01,INE07Z523018,0915-1530|1815-1915:1,2023-01-28,,NSE:OSEINTRUST-IV,10,10,10435,OSEINTRUST,10435,-1.0,XX,101000000010435
10100000001044,AXISAMC - AXISBNKETF,4,1,0.01,INF846K01X63,0915-1530|1815-1915:1,2023-01-28,,NSE:AXISBNKETF-EQ,10,10,1044,AXISBNKETF,1044,-1.0,XX,10100000001044
101000000010440,LUPIN LIMITED,0,1,0.05,INE326A01037,0915-1530|1815-1915:1,2023-01-28,,NSE:LUPIN-EQ,10,10,10440,LUPIN,10440,-1.0,XX,101000000010440
101000000010447,UNITED SPIRITS LIMITED,0,1,0.05,INE854D01024,0915-1530|1815-1915:1,2023-01-28,,NSE:MCDOWELL-N-EQ,10,10,10447,MCDOWELL-N,10447,-1.0,XX,101000000010447
101000000010453,SATIN CREDIT NET LTD,0,1,0.05,INE836B01017,0915-1530|1815-1915:1,2023-01-28,,NSE:SATIN-EQ,10,10,10453,SATIN,10453,-1.0,XX,101000000010453
101000000010457,ARVIND SMARTSPACES LTD,0,1,0.05,INE034S01021,0915-1530|1815-1915:1,2023-01-28,,NSE:ARVSMART-EQ,10,10,10457,ARVSMART,10457,-1.0,XX,101000000010457
101000000010473,POWER MECH PROJECTS LTD.,0,1,0.05,INE211R01019,0915-1530|1815-1915:1,2023-01-28,,NSE:POWERMECH-EQ,10,10,10473,POWERMECH,10473,-1.0,XX,101000000010473
101000000010485,RAM RATNA WIRES LIMITED,0,1,0.05,INE207E01023,0915-1530|1815-1915:1,2023-01-28,,NSE:RAMRAT-EQ,10,10,10485,RAMRAT,10485,-1.0,XX,101000000010485
101000000010508,MOTILALAMC - MOHEALTH,4,1,0.01,INF247L01BB1,0915-1530|1815-1915:1,2023-01-28,,NSE:MOHEALTH-EQ,10,10,10508,MOHEALTH,10508,-1.0,XX,101000000010508
101000000010511,UTIAMC - UTINIFTETF,4,1,0.01,INF789FB1X41,0915-1530|1815-1915:1,2023-01-28,,NSE:UTINIFTETF-EQ,10,10,10511,UTINIFTETF,10511,-1.0,XX,101000000010511
101000000010512,KOTAKMAMC - KOTAKCONS,4,1,0.01,INF174KA1JE5,0915-1530|1815-1915:1,2023-01-28,,NSE:KOTAKCONS-EQ,10,10,10512,KOTAKCONS,10512,-1.0,XX,101000000010512
101000000010515,UTIAMC - UTISENSETF,4,1,0.01,INF789FB1X58,0915-1530|1815-1915:1,2023-01-28,,NSE:UTISENSETF-EQ,10,10,10515,UTISENSETF,10515,-1.0,XX,101000000010515
10100000001053,UFLEX LIMITED,0,1,0.05,INE516A01017,0915-1530|1815-1915:1,2023-01-28,,NSE:UFLEX-EQ,10,10,1053,UFLEX,1053,-1.0,XX,10100000001053
101000000010530,SHARDA MOTOR INDS LTD,0,1,0.05,INE597I01028,0915-1530|1815-1915:1,2023-01-28,,NSE:SHARDAMOTR-EQ,10,10,10530,SHARDAMOTR,10530,-1.0,XX,101000000010530
101000000010557,NAVKAR CORPORATION LTD.,0,1,0.05,INE278M01019,0915-1530|1815-1915:1,2023-01-28,,NSE:NAVKARCORP-EQ,10,10,10557,NAVKARCORP,10557,-1.0,XX,101000000010557
101000000010568,RAMA PHOSPHATES LIMITED,0,1,0.05,INE809A01024,0915-1530|1815-1915:1,2023-01-28,,NSE:RAMAPHO-EQ,10,10,10568,RAMAPHO,10568,-1.0,XX,101000000010568
101000000010576,NIP IND ETF NIFTY BEES,4,1,0.01,INF204KB14I2,0915-1530|1815-1915:1,2023-01-28,,NSE:NIFTYBEES-EQ,10,10,10576,NIFTYBEES,10576,-1.0,XX,101000000010576
101000000010577,KRBL LIMITED,0,1,0.05,INE001B01026,0915-1530|1815-1915:1,2023-01-28,,NSE:KRBL-EQ,10,10,10577,KRBL,10577,-1.0,XX,101000000010577
101000000010578,MPS LIMITED,0,1,0.05,INE943D01017,0915-1530|1815-1915:1,2023-01-28,,NSE:MPSLTD-EQ,10,10,10578,MPSLTD,10578,-1.0,XX,101000000010578
101000000010579,MARKSANS PHARMA LIMITED,0,1,0.05,INE750C01026,0915-1530|1815-1915:1,2023-01-28,,NSE:MARKSANS-EQ,10,10,10579,MARKSANS,10579,-1.0,XX,101000000010579
101000000010580,TRANSPORT CORPN OF INDIA,0,1,0.05,INE688A01022,0915-1530|1815-1915:1,2023-01-28,,NSE:TCI-EQ,10,10,10580,TCI,10580,-1.0,XX,101000000010580
101000000010585,ICICIPRAMC - ICICIMOM30,4,1,0.01,INF109KC17C7,0915-1530|1815-1915:1,2023-01-28,,NSE:ICICIMOM30-EQ,10,10,10585,ICICIMOM30,10585,-1.0,XX,101000000010585
101000000010588,SHRE PUSH CHEM & FERT LTD,0,1,0.05,INE712K01011,0915-1530|1815-1915:1,2023-01-28,,NSE:SHREEPUSHK-EQ,10,10,10588,SHREEPUSHK,10588,-1.0,XX,101000000010588
101000000010590,LOYAL TEXTILE MILLS LTD,0,1,0.05,INE970D01010,0915-1530|1815-1915:1,2023-01-28,,NSE:LOYALTEX-EQ,10,10,10590,LOYALTEX,10590,-1.0,XX,101000000010590
101000000010599,GUJARAT GAS LIMITED,0,1,0.05,INE844O01030,0915-1530|1815-1915:1,2023-01-28,,NSE:GUJGASLTD-EQ,10,10,10599,GUJGASLTD,10599,-1.0,XX,101000000010599
101000000010604,BHARTI AIRTEL LIMITED,0,1,0.05,INE397D01024,0915-1530|1815-1915:1,2023-01-28,,NSE:BHARTIARTL-EQ,10,10,10604,BHARTIARTL,10604,-1.0,XX,101000000010604
101000000010618,SADBHAV INFRA PROJ LTD.,0,1,0.05,INE764L01010,0915-1530|1815-1915:1,2023-01-28,,NSE:SADBHIN-EQ,10,10,10618,SADBHIN,10618,-1.0,XX,101000000010618
101000000010619,HDFCAMC - HDFCNEXT50,4,1,0.01,INF179KC1DA9,0915-1530|1815-1915:1,2023-01-28,,NSE:HDFCNEXT50-EQ,10,10,10619,HDFCNEXT50,10619,-1.0,XX,101000000010619
101000000010633,HDFCAMC - HDFCNIF100,4,1,0.01,INF179KC1DB7,0915-1530|1815-1915:1,2023-01-28,,NSE:HDFCNIF100-EQ,10,10,10633,HDFCNIF100,10633,-1.0,XX,101000000010633
101000000010634,AUTOMOTIVE STAMPINGS & AS,0,1,0.05,INE900C01027,0915-1530|1815-1915:1,2023-01-28,,NSE:ASAL-EQ,10,10,10634,ASAL,10634,-1.0,XX,101000000010634
101000000010637,OLECTRA GREENTECH LIMITED,0,1,0.05,INE260D01016,0915-1530|1815-1915:1,2023-01-28,,NSE:OLECTRA-EQ,10,10,10637,OLECTRA,10637,-1.0,XX,101000000010637
